CO	Akron	Colorado Plains Regional Airport	KAKO	Hayes Aviation	970-345-2397	No							0						2017-08-11	Good	No		they incorporate the fees into the fuel prices which they think is fair because larger planes have to pay more due to the larger amount of fuel that they need
CO	Alamosa	San Luis Valley Regional Airport/Bergman Field	KALS	Mountain View Aeromotive	719-589-9100	Did Not/Would not answer													2017-08-11	Did not Answer (Will Call Again)			said they were with a customer and should call back later
CO	Aspen	Aspen-Pitkin County Airport/Sardy Field	KASE	Atlantic Aviation	970-920-2016	Yes	Engine Type		$78-citation jet 2, $284-Falcon 900, $531-global express, $231-challenger 350, $26-cessna 210		$170/night-citation jet 2, $270/night-Falcon 900, $470/night-global express, $300/night-challenger 350, $20/night-cessna 210	$300-citation jet 2, $500-Falcon 900, $850-global express, $551-challenger 350, $0-cessna 210. plus all planes have a $20 security fee when landing		$440/night-citation jet 2, $720/night-Falcon 900, $790/night-challenger 350, $100/night-cessna 210		Yes	facility fee waived by fuel purchase: 120 gallons-citation jet 2, 300 gal-Falcon 900, 650 gal-global express, 300 gal-challenger 350	Trisha	2017-08-11	Good	No		
CO	Boulder	Boulder Municipal Airport	KBDU	 Journeys Aviation	303-449-4210	Yes	Flat Rate		0	0	$10/night	0	$100	none available		Yes	one night of tie down waived by any fuel purchase		2017-08-11	Good	No		super helpful attitude
CO	Burlington	Kit Carson County Airport	KITR	City of Burlington	719-343-5630														2017-08-11	Did not Answer (Will Call Again)			legitamately just didnt answer
CO	Canon City	Fremont County Airport	1V6	 Fremont County Airport	719-784-3816	Yes	Flat Rate		0	0	0	0	$50	$50/night				Wes	2017-08-11	No Real Structure	No		"around $50/night", seemed somewhat unsure but enthusiastic to help
CO	Center	Leach Airport	1V8	Saguache County	719-655-2321														2017-08-11	Did not Answer (Will Call Again)			Wendy is out of the office until Monday
CO	Colorado Springs	City of Colorado Springs Municipal Airport	KCOS	Cutter Aviation	719-591-2065														2017-08-11	Did not Answer (Will Call Again)			They hung up before I even spoke which is a fun thing
CO	Colorado Springs	City of Colorado Springs Municipal Airport	KCOS	Colorado jetCenter	877-853-7523, 719-591-2288	Yes	Engine Type		0	0	piston: $6/night, turboprop: $6/night, jet: $0/night	0	0	vary by size, $75/night-single, $500/night-G650+C130+military				Jessica	2017-08-11	Good	No		
CO	Colorado Springs	Meadow Lake Airport	KFLY	Phantom Fuel, LLC	719-683-2202	Did Not/Would not answer													2017-08-11	Did not Answer (Will Call Again)			They didn't answer, the other number was just for fuel reporting. It kind of sounded like it was only fuel
CO	Colorado Springs	Meadow Lake Airport	KFLY	American Aviation	719-683-2547	Did Not/Would not answer													2017-08-11	Did not Answer (Will Call Again)			their anwering machine was full
CO	Cortez	Cortez Municipal Airport	KCEZ	Cortez Flying Service	970-565-3721	Yes	Weight		$11.40-cessna 340, $18.81-CS1, $52.44-falcon 200, $79.80-falcon 900, $143.07-Gulfstream 550	light jet: $50/night, midsize jet: $100/night heavy jet: $100/night	single engine piston: $5/night, turboprop: $8/night	0	$60/night	not now		No			2017-08-11	Good	No		
CO	Craig	Craig-Moffat Airport	KCAG	Mountain Air Spray Co.	970-824-6335	No							0	they said there were none open and wouldn't give any price information on that		No			2017-08-11	No Real Structure	No		they kept asking what it was for and how long it would take-very reluctant to give out information
CO	Del Norte	Astronaut Kent Rominger Airport	KRCV	Astronaut Kent Rominger Airport	719-657-2744	Did Not/Would not answer													2017-08-11	Would not Disclose			said they didnt know anything about it and had no # for anyone who did... suspicious...
CO	Delta	Blake Field Airport	KAJZ	Smiling Aviation	970-874-5181	Yes	Engine Type		0	0	0	0	$75	$50/night-172 or 182 "and up from there"		No			2017-08-11	Good	No		not super interested
