MO	St Louis	Lambert-St Louis International Airport	KSTL	Signature Flight Support	314-731-7111	Yes	Weight and Engine		$20-1000	$50-3000	$50-295	$25		$100-500/night	Anually	Yes	7-600gallons	Maurine Little	8/30/2017	Good	No		
MO	St Louis	Lambert-St Louis International Airport	KSTL	ATS JetCenter	314-895-8788	Yes	Weight		$20-$40	$100-200	0	$125	$300	no Hanger	Couple if Years	Yes	50-300 gallons	Tim	8/29/2017	Good	No		
MO	Kansas City	Kansas City International Airport	KMCI	Signature Flight Support	816-243-6440	Yes	Private/Commercial		$10.85-$386	0	$17/night-$207/night	$40-2000		N/A	Annually	Yes	7-1000Gallon	Chelsea	8/29/2017	Good	No		
MO	St Louis	Spirit of St Louis Airport	KSUS	Aero Charter, Inc.	800-535-1445, 636-449-5150	Yes	Square Footage and Engine		$25-300	0	0	$25-75	$75-100	$125-500	Seasonal adjustment	Yes	1st Day Ramp fee waived if there multiple days and purchases fuel	Megan	8/28/2017	Good	No		
MO	St Louis	Spirit of St Louis Airport	KSUS	TAC Air	636-532-8882	Yes	Make and Model		$15-150	$15/night-225/night		$15-750	24hr	$100-600/night	2years	Yes	5-750gallons	Brandon	8/28/2017	Good	No		
MO	St Louis	Spirit of St Louis Airport	KSUS	 Million Air St. Louis	636-532-0404	Yes	Weight and Engine		0	$20-350		$15-750	0	$90-400	Never	Yes	no	Ashley	8/28/2017	Good	No		
MO	Kansas City	Charles B Wheeler Downtown Airport	KMKC	Signature Flight Support	816-842-8484	Yes	Weight		$3.39 per 1000lbs	$40-1700	$21-258	0		$76-741	Every Couple years	Yes	7-865Gallons	Brett 	8/29/2017	Good	Yes		
MO	Kansas City	Charles B Wheeler Downtown Airport	KMKC	Atlantic Aviation	816-949-8900	Yes	Square Footage			40-1100	$20-550/night	$40-1100		$100-1100/night	Bi annual	Yes	90- 6200Gallons	Renee	8/29/2017	Good	No	Atlanticaiviation.com	
MO	Kansas City	Charles B Wheeler Downtown Airport	KMKC	City of Kansas City	816-859-7600, 816-289-2718	Yes	Weight		$2per 1000 lbs	0	0	0	0	$385/mo- 1100/mo	Annually	Yes	500-600Gallons (BFO's only)	Rod	8/28/2017	Good	No		
MO	St Charles	St Charles County Smartt Airport	KSET	Commemorative Air Force, Missouri Wing	636-250-4515														8/29/2017	Did not Answer (Called Twice)			
MO	St Charles	St Charles County Smartt Airport	KSET	St. Charles Flying Service	800-447-6066, 636-250-4500	Yes	Flat Rate		0	0	$5/night	0	0	$25/night	Annually	Yes	No Minimum	Cody	8/28/2017	Good	No		
MO	St Charles	St Charles County Smartt Airport	KSET	Skylink Aviation	636-250-4121														8/28/2017	Did not Answer (Called Twice)			# is fax machine
MO	Lee's Summit	Lee's Summit Municipal Airport	KLXT	Lee's Summit Municipal Airport	816-969-1186, 816-969-1180	Yes	Square Footage and Engine		0		$10/night-60/night	$15-55		$25-175	Annually	Yes	Per customer Basis	Matt Gunvail	8/28/2017	Good	No		
MO	Springfield	Springfield-Branson National Airport	KSGF	Springfield/Branson National Airport-Midwest Premier SGF	417-868-0590	Yes	Engine Type		0	0	$10/night-60/night	$5/night-25/night		no hanger	Several years	Yes	No set minimum	Cindy	8/28/2017	Good	No		
MO	St Louis	Creve Coeur Airport	1H0	Creve Coeur Airport	314-878-6400	Yes	Flat Rate		0	0	$10/night	$15	0	$25, 20 w/ fuel	Rarely	Yes		Patrick 	8/28/2017	Good	No		
MO	Rolla/Vichy	Rolla National Airport	KVIH	Rolla National Airport	573-299-4498	Yes	Flat Rate		0	0	$8/ night	0	0	$10/night 	Never	Yes	No Minimum	Cathy	8/28/2017	No Real Structure	No		
MO	Miller	Kingsley Airfield	MO9	Plane Cents Aviation	417-452-3831	Did Not/Would not answer													8/29/2017	Would not Disclose			
MO	Jefferson City	Jefferson City Memorial Airport	KJEF	Jefferson City Flying Service	573-636-5118	Yes	Engine Type		0	0	0	$25	$100	$25-100	Fixed	Yes	500/ 600 Gallons	Jordan Heckman	8/28/2017	Good			
MO	Warrensburg	Skyhaven Airport	KRCM	 UCM Aviation	660-543-4921, 660-543-4947	Yes	Make and Model		0	$26.25-120	$120	0		$60-275	Bi annualy	Yes	No set Minimum	Kyle	8/30/2017	Good	No		
MO	Cape Girardeau	Cape Girardeau Regional Airport	KCGI	 Cape Aviation	573-335-6632	Yes	Engine Type		$.58 per 1000lbs	0	0	0	$50	$35/night- $125	Seasonal	No		Derrick	8/28/2017	Good	No		
MO	Fort Leonard Wood	Waynesville-St. Robert Regional Airport-Forney Field	KTBN	Waynesville-St. Robert Cities Aviation	573-329-4216														8/29/2017	Did not Answer (Called Twice)			
MO	Joplin	Joplin Regional Airport	KJLN	Alpha Air Center	417-623-3113	Yes	Square Footage and Engine		0	0	$10-100	0	$35	$150-200/night	Several Years	No		Bailey	8/28/2017	Good	No		
MO	Joplin	Joplin Regional Airport	KJLN	Mizzou Aviation	417-623-1331	Yes	Engine Type		0	$25-50	$5-10	$25-50	$50	$10-250/night	Annual review	Yes	10 Gallons+ depending on size	Ron Thomas	8/28/2017	No Real Structure	No		
