WA	Anacortes	Anacortes Airport	74S	Port of Anacortes	360-293-3134														7/11/17		No		
WA	Arlington	Arlington Municipal Airport	KAWO	Arlington Flight Services, Inc.	360-435-5700														7/11/17		No		
WA	Arlington	Arlington Municipal Airport	KAWO	Castle & Cooke Aviation Services	425-791-3051	Yes													7/11/17		No		
WA	Auburn	Auburn Municipal Airport	S50	Airport Management Group, LLC	253-333-6821														7/11/17		No		
WA	Bellingham	Bellingham International Airport	KBLI	Bellingham Aviation Services	360-676-7624	Yes	Weight			0	piston single: $10, piston multi: $20, turboprop single: $10, turboprop multi: $20, jet: $20	0	75$/hour	:120 per night but varies on plain size		Yes	depends on plain	Devin 	7/11/17	Dope AF(Fee Sheet Received)	No		super helpful
WA	Bellingham	Bellingham International Airport	KBLI	Command Aviation, Inc.	360-733-3174	Yes	Weight		>7500 lbs: 1$ per 1000 lbs 	1$ per 1000 lbs	10/night			300$ per month		No		Simon 	7/11/17	Good	No		security card 100$.Very helpful
WA	Bremerton	Bremerton National Airport	KPWT	Avian Flight Center, Inc.	360-674-2111	No	Engine Type		no	5	no		$70/2 hours	25 per night					2017-07-12	Good	No		very small and cheap
WA	Burlington/Mount Vernon	Skagit Regional Airport	KBVS	Corporate Air Center LLC	360-757-7757, 360-941-2777		Engine Type		piston twin: $50, turboprop: $100, light jet: $200, large jet: $500							Yes			2017-07-12	Good	No		in a hurry to get me off the phone and recorded the call. all fees are waved by buying fule
WA	Camas	Grove Field Airport	1W1	Port of Camas/Washougal	360-835-2196	No	Wingspan		0		5/night		$100/hour					angilina	2017-07-12	Good	No		extrodinarily helpful and emailed me a bunch of data, also they dont really have fees
WA	Chehalis	Chehalis-Centralia Airport	KCLS	Chehalis-Centralia Airport	360-748-1230	Yes	Engine Type		0		5/night		75	56-220$				David	2017-07-12	Good	No		
WA	Chelan	Lake Chelan Airport	S10	Chelan Municipal Airport	509-682-5976	Yes													2017-07-12	No Real Structure	No		rarely in office
WA	College Place	Martin Field Airport	S95	Cheney Aviation	509-522-1847														2017-07-12	No Real Structure	No		rarely in office
WA	Colville	Colville Municipal Airport	63S	City of Colville (self-serve fuel)	509-685-9056														2017-07-12	No Real Structure	No		rarely in office
WA	Davenport	Davenport Airport	68S	Davenport Municipal Airport	509-725-4352, 509-725-0152	Yes			0		$2/night, $25/month, $225/year 			no hangers				Sabrena	2017-07-12	Good	No		nice but small
WA	Deer Park	Deer Park Airport	KDEW	Deer Park Airport	509-276-3379														2017-07-12	No Real Structure	No		rarely in office
WA	Eastsound	Orcas Island Airport	KORS	Aeronautical Services	360-378-2640														2017-07-12	No Real Structure	No		
WA	Ellensburg	Bowers Field Airport	KELN	Midstate Aviation	509-962-7850	No			0	3/night				70 for psiton 90 for jet				Matt	2017-07-12	Good	No		small
WA	Ephrata	Ephrata Municipal Airport	KEPH	Port of Ephrata	509-754-3508	No	Wingspan		0		20/month, 10/day			155 per month but varies on wingspan					2017-07-12	Good	No		small
WA	Everett	Snohomish County Airport (Paine Field)	KPAE	Castle & Cooke Aviation	425-355-6600	Yes													2017-07-12	Would not Disclose	No		
WA	Everett	Snohomish County Airport (Paine Field)	KPAE	Regal Air - Crown Avionics	425-353-9123	Did Not/Would not answer	Other	by individual plane											2017-07-12	Would not Disclose	Yes		
WA	Friday Harbor	Friday Harbor Airport	KFHR	Aeronautical Services	360-378-2640														2017-07-12	Did not Answer (Called Twice)	No		only open 7:30 to 2
WA	Hoquiam	Bowerman Airport	KHQM	Port of Grays Harbor	360-533-9544	No			0					71 -181per month				shannon anserson	2017-07-12	Dope AF(Fee Sheet Received)	No		
WA	Kelso	Southwest Washington Regional Airport	KKLS	Kelso Aviation Services	360-414-4333, 360-901-1723	Yes	Engine Type		0		piston single: $3, piston multi: $6, turboprop single: $3, turboprop multi: $6, jet: $6								2017-07-12	Good	No		
WA	Kent	Crest Airpark	S36	Crest Airpark	253-631-7100	Yes			0					usually 135 per night				Kaiden	2017-07-12	Good	No		
WA	Lynden	Lynden Municipal Airport Jansen Field	38W	 City of Lynden (self-serve fuel)	360-354-3446														2017-07-12	Did not Answer (Will Call Again)			on vacation
WA	Moses Lake	Grant County International Airport	KMWH	 Million Air Moses Lake	509-762-2222	No							$50/hour	baised on weight					2017-07-12	Good	No		
WA	Moses Lake	Grant County International Airport	KMWH	Columbia Pacific Aviation, Inc.	509-762-1016	No			0	0	0	0		varies 50 250 	from summer to winter 				2017-07-19	Did not Answer (Called Twice)	No		
WA	Oak Harbor	AJ Eisenberg Airport	KOKH	AJ Eisenberg Airport	866-429-2132	No			0	0	0	0		has a hanger that can be rented					2017-07-19		No		normaly unadeded self serve gas
WA	Okanogan	Okanogan Legion Airport	S35	Okanogan Legion Airport	509-422-3600	Did Not/Would not answer								has a hanger that can be rented	seasonly				2017-07-19	Unreliable Data			very small and kind of oblivios to there own airport
WA	Olympia	Olympia Regional Airport	KOLM	Jorgensen Air Service	360-754-4043, 360-705-4300	Yes	Weight	max takeoff weight											2017-07-19				wantedt to get me off the phone they were almost green
WA	Olympia	Olympia Regional Airport	KOLM	Glacier Jet Center	360-705-3214, 360-753-0943	Yes		oer 12500 lbs if under nofees if over	yes	50	10/night		$100/hour	hangers 75 to 250		Yes	unspecified	stephanie	2017-07-19	Good	No		super organised and friendly 
WA	Omak	Omak Airport	KOMK	Omak Airport	509-826-6270	Yes			0										2017-07-19				nobody in office
