4/24/2017 21:18:13	Morris	Illinois	Morris Municipal Airport	James R. Washburn Field- Morris Municipal	C09	Yes	Flat Rate	No  self serve	None	Tie Down: 0	None		Call for availability. If empty 20-25 a night.	Bill	3/29/2017			
4/24/2017 21:22:34	Mount Carmel	Illinois	Mt Carmel Muni Airport	Mount Carmel Municipal	KAJG	No		No  self serve	0	0	0	0		Nathan	3/29/2017			
4/24/2017 21:29:37	Rockford	Illinois	North American Aviation (Pride Aircraft)	Chicago/Rockford International	KRFD	No						0	Call to check for availability.	Amber	3/29/2017			
4/24/2017 21:30:16	Fairfield	Illinois	Fairfield Municipal Airport	Fairfield Municipal Airport	KFWC	Yes	Flat Rate	Yes	0	Tie down: 5	0	0			4/24/2017			
4/24/2017 21:32:41	Lake in the Hills	Illinois	Finefield Aviation	Lake in the Hills	3CK	No						0			3/31/2017		Fees determined by the city	
4/24/2017 21:39:39	Chicago	Illinois	Northwest Flyers	Schaumburg	06C	Yes	Flat Rate	Yes  self serve	0	Tie Down: 12	50	None	75		3/28/2017			
4/24/2017 21:45:42	Pontiac	Illinois	Pontaic Flying SVC	Pontiac Municipal	KPNT	Yes	Flat Rate	No  self serve	None	Tie Down: 8	None	None	Only available for long term rentals.	Sarah	3/28/2017			
4/24/2017 21:50:45	Popular Grove	Illinois	Poplar Grove Airmotive	Popular Grove	C77	Yes	Flat Rate	No  self serve	None	Tie Down: 10	None	None	Only available for long term rental.		3/28/2017			
4/24/2017 21:56:47	Casey	Illinois	Sky's the Limit	Casey Municipal	1H8	Yes	Flat Rate	No  self serve	None	None	None	None	Single Engine: 15,Jets: 50-60 depending on if it has an electric or hand operated door.	Karen	3/28/2017			
4/24/2017 22:00:51	Robinson	Illinois	Sky's the Limit	Crawford County	KRSV	Yes	Flat rate	No  self serve	None	None	None	None	Single Engine: 125,Multi Engine: 150	Howard	3/28/2017			
4/24/2017 22:04:17	Pinckeyville	Illinois	Sparta Aero Services	Pinckneyville-Du Quoin	KPJY	No						0			3/28/2017		Only sells fuels. Connected to Sparta Aero Services Inc (KSAR)	
4/24/2017 22:09:17	Sparta	Illinois	Sparta Aero Services Inc	Sparta Community-Hunter Field	KSAR	Yes	Flat Rate	No  self serve	None	None	None	50	Single Engine: 25,Multi Engine: 50	Scott	3/28/2017			
4/24/2017 22:12:18	Springfield	Illinois	Stellar Aviation	Abraham Lincoln Capital	KSPI	Yes								Beth	3/28/2017			https://drive.google.com/open?id=0B9NWYT3HB4NhMHc4eHVFOXpwZG8
4/24/2017 22:16:47	Olney-Noble	Illinois	TDB Aviation	Olney-Noble	KOLY	Yes	Flat Rate	Yes  self serve	None	Tie Down: 5	None	None	10 (only fits single engine or light twin)	Tom	3/29/2017			
4/24/2017 22:19:58	Effingham	Illinois	Tate's Flying SVC	Effingham County Memorial	1H2	No		Self serve				0		Jerry Tate	3/28/2017			
4/24/2017 22:22:03	Chicago	Illinois	Windy City Aero	Lansing Municipal	KIGQ	No						0		Kurt Herman	3/28/2017			
4/25/2017 9:49:39	Urbana/Champagne	Illinois	Flightstar Corp	University of Illinois-Willard	KCMI	Yes	Engine type	Yes	0	Single engine: 15,Very Light Jet: 110,Light Jet: 110,Medium Jet: 165,Heavy Jet: 230,twin engine Turboprop: 80	0	0	Single: 60,Very Light Jet: 150,Light Jet: 245,Medium Jet: 280,Heavy Jet: 700,Truboprop: 168,,Aproxamations	Samantha	3/31/2017			
4/25/2017 10:04:18	Flora	Illinois	Flora Municipal Airport	Flora Municipal Airport	KFOA	No						0			3/31/2017			
4/25/2017 10:06:42	Freeport	Illinois	Freeport Flite CTR	Albertus 	KFEP	No						0	Non-heated free with fuel purchase. Heated 50		3/31/2017			
4/25/2017 10:11:48	Wonder Lake	Illinois	Galt Airport LLC	Galt Airport	10C	No						0			3/31/2017			
4/25/2017 10:15:01	Greenville 	Illinois	Greenville Airport	Greenville Airport	KGRE	No						0	10		3/31/2017			
4/25/2017 10:29:14	Danvile	Illinois	Midwest Aero	Vermilion Regional	KMWA	No						50	Single: 30,Twin: 50,Jet turboprop: 90		3/31/2017		150 gal gets 11cents off/gal	
4/25/2017 10:32:36	Marion	Illinois	Midwest Aviation Service	Wiliamson County Regional	KMWA	Yes	Engine type	Yes	0	Tie down: 0,Single engine: 0,Twin Engine: 40,Multi Engine: 40,twin engine Turboprop: 60	0	0	Single: 40,Truboprop: 120,Multi or twin: 80	Erin	3/28/2017			
4/25/2017 10:42:20	Bloomington	Illinois	Image Air	Central Illinois Regional At Bloomingtion Normal	KCPS	Yes	Engine type	Yes	Single Engine: 0,Large Single Engine: 15,Small Twin: 15,Large Twin: 25,light jet: 35,Medium Jet: 60,Large Jet: 90	0	0	0	Single Engine= 50,Large Single Engine= 75,Small Twin= 75,Large Twin= 95,light jet= 125,Medium Jet= 125,Large Jet= 175	Suzy	3/30/2017			
4/25/2017 10:44:47	Canton	Illinois	Ingersoll Airport	Ingersoll	KCTK	Yes	Flat Rate		0	Tie down: 2	0		10	Corry	3/29/2017			
4/25/2017 10:48:24	Chicago	Illinois	J A Air Center	J A Air Center	KARR	Yes	flat rate	Yes	0	0	150		Single Engine- 172 aircraft= 75,Light Jet- Citation 1= 157,Medium Jet- Citation 10= 354,Heavy- G-4 Gulf Stream 528,Light Turboprop- Conquest= 147,twin engine turboprop- King Air 350= 206	Shay-lin	3/29/2017			
4/25/2017 11:04:30	Jacksonville	Illinois	Jacksonville Municipal	Jacksonville Airport Authourity	KIJX	No						0	Summer 10,Winter 20	Steven	3/30/2017			
4/25/2017 11:31:09	Romeoville	Illinois	J.F. Aviation	Joliet Regional Port District	KLOT	No						0		Chuck	3/29/2017			
4/25/2017 11:33:39	Lacon	Illinois	Kilo Aviation	Marshall Count 	C75	No						0	20-300		3/29/2017			
4/25/2017 11:37:34	Litchfield	Illinois	Litchfield Airport Authourity	Litchfield Illinois Municipal	3LF	No						0	No power 25  power 35	Jason	3/29/2017			
4/25/2017 11:38:59	Lincon	Illinois	Logan County	Logan County	KAAA	No						0	TBD	Amy	3/29/2017			
4/25/2017 11:58:38	Hutchinson  	Illinois	 ASI Jet	Hutchinson Municipal Airport-Butler Field	KHCD	No						0	Depends on the size of the plane and available 		4/25/2017	No		
4/18/2017 8:39:13	Anderson	Indiana	Anderson Municipal Airport	Anderson Municipal Airport - Darlington Field	KAID	Yes	Engine type	Yes	twin engine Turboprop: 25,light Jet: 50,Single Engine: 25	,Tie Down: Single Engine: 8,Tie Down: Multi Engine: 17		75		A man that isn't the manager	4/18/2017		Unreliable info. 	
4/18/2017 8:40:38	Madison	Indiana	City of Madison-Aviation	Madison Municipal Airport	KIMS	Yes	flat rate	No  self serve	None	None	None	35	Single Engine: 50,Twin Engine: 100,Jets: 150	Brett	4/18/2017	No		
4/18/2017 8:44:58	Marion	Indiana	Air Marion	Marion Municipal Airport	KMZZ	Yes	flat rate	No	None	None	None	35	Single Engine: 50,Twin Engine/Jets: 100	??	4/18/2017	No		
4/18/2017 8:50:01	Monticello	Indiana	Townsend Aviation	White County Airport	KMCX	Yes	Flat Rate	Yes	None	3	None	None	20	Diana	4/18/2017	No		
4/18/2017 9:27:07	Paoli	Indiana	Paoli Municipal Airport	Paoli Municipal Airport	I42	No						0	Complimentary for one night.	Charles	4/18/2017			
4/18/2017 9:30:39	Peru	Indiana	Peru Municipal Airport	Peru Municipal Airport	I76	No						0	15	Kalvin?	4/18/2017	City Airport  no FBOs on the field.		
4/18/2017 9:40:55	Bedford	Indiana	Lawrence County Aviation LLC	Virgil Grissom Municipal Airport	KBFR	Yes	Engine type	Yes	0	light jet: 100,twin engine turboprop: 100		0	50-100/day	Ray	4/18/2017			
4/18/2017 9:50:14	Bloomington	Indiana	BMG Avation	Monroe County Airport	KBMG	Yes	Engine type	Yes	0	light jet: 25,Medium Jet: 25,Large Jet: 25		100	Owned by County	A woman	4/18/2017			
4/18/2017 9:50:35	Rensselaer	Indiana	Jasper County Airport Authority	Jasper County Airport 	KRZL	Yes	flat rate	No	None	None	None	Depends on situation	Small (42-46ft long  12ft tall): 20-25,Large: 200-300	Ray	4/18/2017	No		
4/18/2017 9:53:40	Bluffton	Indiana	Miller Flying Service	Miller Airport	C40	No			0	0	0	0	55/month	Owner who lives across the street	4/18/2017	No		
4/18/2017 9:56:27	Richmond	Indiana	Richmond Municipal Airport	Richmond Municipal Airport	KRID	Yes	engine type	Yes	None	single engine: 75,twin engine: 75,twin engine turboprop: 75,light jet: 100,	None	50	Single Engine: 25,Jet: 100	Rob	4/18/2017	No		
4/18/2017 10:01:47	Rochester	Indiana	Fulton County Aviation	Fulton County Aviation	KRCR	No		no	None	None	None	50	None for just 1 over night	??	4/18/2017	No		
4/18/2017 10:09:53	Columbus	Indiana	Jeff Air Pilot Services	Columbus Municipal Airport	KBAK	Yes	Engine type	Yes	0	Tie down: 1,single engine: 25,multi engine: 75,twin engine turboprop: 150,light jet: 250,		100	day: 50 flat,night:,single 55,light twin 100,heavy twin 150-250,jet 250-400,	A helpful woman	4/18/2017		Cargo: minimum 150. ,falcon or caravan 300,DC3 metro: 500,DC9: 1000,727 737 15000,larger 1800,,De-icing: minimum 200 or 19.50/gal (over 10 gal) of what is used	
4/18/2017 10:15:41	Salem	Indiana	Salem Municipal Airport	Salem Municipal Airport	I83	Yes	Flat Rate	No	None	Tie Down: 5	None	None	6.25,Heated: 8	Airport Manager	4/18/2017	No		
4/18/2017 10:16:15	Crawfordsville	Indiana	Crawfordsville Municipal Airport	Crawfordsville Municipal Airport	KCFJ	No			0	0		0	Call ahead for availablilty	A man	4/18/2017			
4/18/2017 10:18:20	Seymour	Indiana	Freeman Municipal Airport	Freeman Municipal Airport	KSER	No		no				0	25	??	4/18/2017	No		
4/18/2017 10:28:33	Later	Indiana	Perdue Aviation	Later	KLAF	Yes	Make and Model	Yes						A woman who knows how to use email	4/18/2017		Sending a PDF	
4/18/2017 10:31:15	Goshen	Indiana	Goshen Air Center	Goshen Municipal Airport	KGSH	Yes	Engine type	Yes 	0	0	Single Engine: 0,Twin engine: 60,twin engine turboprop: 90,light jet: 150,medium jet: 200,heavy jet: 250,	100	Single 60 dollars a night,single engine engine turbo 125 per night,multiengine is also 125,Turbo 225 per night,light 250 per night,mid 350 per night,heavy 500	Christie 	4/18/2017	No		
4/18/2017 10:38:46	Greencastle 	Indiana	PDM Aviation LLC	Putnam County Regional Airport	KGCP	No			0	0	0	100	Depends 	Dug 	4/18/2017	No		
4/18/2017 10:39:26	South Bend	Indiana	South Bend	South Bend International Airport	KSBN	Yes	flat rate	Yes	0	None	40	None	Depends on model,ex: single engine= 100	Trish	4/18/2017	No	Charge a security fee: 10,Couldn't get fee sheet.	
4/18/2017 10:49:13	Elkhart	Indiana	Indiana Flight Center	Elkhart Municipal Airport	KEKM	Yes	Engine type		single engine: 0,twin engine: 35,single engine turboprop: 50,twin engine turboprop: 85,light jet: 125,medium jet: 175,heavy jet: 225,	single engine: 0,twin engine: 15,twin engine turboprop: 20,light jet: 25,medium jet: 45,heavy jet: 75		75	Winter is Sept. 1-April 30,Single w 50 S 35,Twin 100  50,turbo prop,-150  75,-200  100,Light jet 280  140,medium 350  175,heavy citation through challenger 500  350,Heavy : 750  375	A helpful woman	4/18/2017			
4/18/2017 10:55:30	Terre Haute	Indiana	Brown Flying School	Sky King Airport	3I3	No		No	None	None	None	None	None	Man  didn't catch name	4/18/2017			
4/18/2017 11:02:53	Valparaiso	Indiana	Porter County Municipal Airport	Porter County Regional Airport	KVPZ	Yes	flat rate	Yes	None	Tie Down: 10	0			Airport Manager (man)	4/18/2017		All fees on chart on website: http://www.vpz.org/services.php	
4/18/2017 11:06:10	Wabash	Indiana	Northern Indiana Aviation	Wabash Municipal Airport	KIWH	No		self serve	None	None	None	None	Only for long term rental	Jess	4/18/2017			
4/18/2017 11:33:34	Winamac	Indiana	Airport Management Service Inc	Arens Field Airport	KRWN	Yes	Flat Rate	No	None	None	None	None	10	Man	4/18/2017	No		
4/18/2017 11:39:58	Winchester	Indiana	Randolph County Airport	Randolph County Airport	I22	Yes	Flat Rate	No	None	None	None	50	Full  call for availability	Man	4/18/2017		Federally funded.	
4/19/2017 9:05:25	Frankfort	Indiana	Montgomery Aviation	Frankfort Municipal Airport	KSMD	Yes	Engine type	Yes  all fees	single engine: 0,Twin engine: 60 ,light Jet: 60,twin engine Turboprop: 60	15	0	75		A man	4/19/2017			
4/19/2017 9:26:17	Franklin	Indiana	Franklin Flying Field	Franklin Flying Field Airport	3FK	Yes	Flat Rate		0	Tie down: 25	0	0	50+/- (nightly)	A man	4/19/2017			
4/19/2017 9:36:08	Hunington	Indiana	Prop Boys Aviation 	 Huntington Municipal Airport  	KHHG	No			no	no 	no 	75	nothing unless it is for an extended period of time 	Linda 	4/19/2017	No		
4/19/2017 10:15:20	Indianapolis 	Indiana	Eagle Creek 	Eagle Creek Airpark	KEYE	Yes	wingspan	yes				100		Giseble  	4/19/2017	No		https://drive.google.com/open?id=0B7XpAj1hR-s2bXliRE9UM3FYZ3c
4/19/2017 10:36:25	Indianapolis 	Indiana	Greenwood	Greenwood Municipal Airport 	KHFY 	No			no 	no 	no 	75	30 gallons of 100ll or helicopter or 100 gallons of jet A get you free night in the hanger inclosed and heated hanger. 	Melisa 	4/19/2017	No		
4/19/2017 10:52:06	Kendallville 	Indiana	Falcon Aviation	Kendallville Municipal Airport 	C62	No			no	no	no	50	overnight tie down per night but waived if bought fuel ,20 per night 	john cline 	4/19/2017	No		
4/19/2017 10:59:24	Kentland 	Indiana	Kentland Municipal Airport	Kentland Municipal Airport	50I 	No		no	no 	no	no	50	20 per night 	Chuck 	4/19/2017	No		
